"","simCount","timestamp","model_type","vod_type","GOF_per_vod_type","RMSE_per_vod_type","NRMSE_per_vod_type","RSQ_per_vod_type","GOF_combined","RMSE_combined","NRMSE_combined","RSQ_combined","vod_params","vod_count","rounds_per_vod","players_count","util_max","util_none","p1_coop_cost","p2_coop_cost","p3_coop_cost","p1_params","p1_X","p1_players_per_state","p1_balancing","p1_prop_start","p1_epsilon_start","p1_epsilon_decay","p1_alpha","p1_gamma","p1_social_behavior","p2_params","p2_X","p2_players_per_state","p2_balancing","p2_prop_start","p2_epsilon_start","p2_epsilon_decay","p2_alpha","p2_gamma","p2_social_behavior","p3_params","p3_X","p3_players_per_state","p3_balancing","p3_prop_start","p3_epsilon_start","p3_epsilon_decay","p3_alpha","p3_gamma","p3_social_behavior"
"1",1889,"2017-06-11 00:02:55","ClassicQ","sym","###",39.439130314955,172.9,0.172145457960361,"#",40.4339791099845,196.1,0.135724788838354,"###",10,150,3,80,0,50,50,50,"#####",2,1,"noise",120,0.1,1,0.55,0.9,"altruistic","#####",2,1,"noise",120,0.1,1,0.55,0.9,"altruistic","#####",2,1,"noise",120,0.1,1,0.55,0.9,"altruistic"
"2",1889,"2017-06-11 00:02:55","ClassicQ","asym1","###",34.1213276412276,201.9,0.532440358123508,"#",40.4339791099845,196.1,0.135724788838354,"###",10,150,3,80,0,30,50,50,"#####",2,1,"noise",120,0.1,1,0.55,0.9,"altruistic","#####",2,1,"noise",120,0.1,1,0.55,0.9,"altruistic","#####",2,1,"noise",120,0.1,1,0.55,0.9,"altruistic"
"3",1889,"2017-06-11 00:02:55","ClassicQ","asym2","###",46.7440905355961,170.3,0.0153448611529,"#",40.4339791099845,196.1,0.135724788838354,"###",10,150,3,80,0,10,50,50,"#####",2,1,"noise",120,0.1,1,0.55,0.9,"altruistic","#####",2,1,"noise",120,0.1,1,0.55,0.9,"altruistic","#####",2,1,"noise",120,0.1,1,0.55,0.9,"altruistic"
"1",1890,"2017-06-11 00:04:15","ClassicQ","sym","###",39.439130314955,172.9,0.172145457960361,"#",40.4339791099845,196.1,0.135724788838354,"###",10,150,3,80,0,50,50,50,"#####",3,1,"noise",120,0.1,1,0.55,0.9,"altruistic","#####",3,1,"noise",120,0.1,1,0.55,0.9,"altruistic","#####",3,1,"noise",120,0.1,1,0.55,0.9,"altruistic"
"2",1890,"2017-06-11 00:04:15","ClassicQ","asym1","###",34.1213276412276,201.9,0.532440358123508,"#",40.4339791099845,196.1,0.135724788838354,"###",10,150,3,80,0,30,50,50,"#####",3,1,"noise",120,0.1,1,0.55,0.9,"altruistic","#####",3,1,"noise",120,0.1,1,0.55,0.9,"altruistic","#####",3,1,"noise",120,0.1,1,0.55,0.9,"altruistic"
"3",1890,"2017-06-11 00:04:15","ClassicQ","asym2","###",46.7440905355961,170.3,0.0153448611529,"#",40.4339791099845,196.1,0.135724788838354,"###",10,150,3,80,0,10,50,50,"#####",3,1,"noise",120,0.1,1,0.55,0.9,"altruistic","#####",3,1,"noise",120,0.1,1,0.55,0.9,"altruistic","#####",3,1,"noise",120,0.1,1,0.55,0.9,"altruistic"
"1",1891,"2017-06-11 00:05:08","ClassicQ","sym","###",39.439130314955,172.9,0.172145457960361,"#",40.3183994391312,195.5,0.135295977916192,"###",10,150,3,80,0,50,50,50,"#####",2,1,"noise",120,0.2,0.98,0.25,0.6,"altruistic","#####",2,1,"noise",120,0.2,0.98,0.25,0.6,"altruistic","#####",2,1,"noise",120,0.2,0.98,0.25,0.6,"altruistic"
"2",1891,"2017-06-11 00:05:08","ClassicQ","asym1","###",33.7085300777118,199.4,0.532440358123508,"#",40.3183994391312,195.5,0.135295977916192,"###",10,150,3,80,0,30,50,50,"#####",2,1,"noise",120,0.2,0.98,0.25,0.6,"altruistic","#####",2,1,"noise",120,0.2,0.98,0.25,0.6,"altruistic","#####",2,1,"noise",120,0.2,0.98,0.25,0.6,"altruistic"
"3",1891,"2017-06-11 00:05:08","ClassicQ","asym2","###",46.7440905355961,170.3,0.0153448611529,"#",40.3183994391312,195.5,0.135295977916192,"###",10,150,3,80,0,10,50,50,"#####",2,1,"noise",120,0.2,0.98,0.25,0.6,"altruistic","#####",2,1,"noise",120,0.2,0.98,0.25,0.6,"altruistic","#####",2,1,"noise",120,0.2,0.98,0.25,0.6,"altruistic"
"1",1892,"2017-06-11 00:06:29","ClassicQ","sym","###",37.545905236124,164.6,0.172145457960362,"#",36.662060316718,177.8,0.145835182808271,"###",10,150,3,80,0,50,50,50,"#####",3,1,"noise",120,0.2,0.98,0.25,0.6,"altruistic","#####",3,1,"noise",120,0.2,0.98,0.25,0.6,"altruistic","#####",3,1,"noise",120,0.2,0.98,0.25,0.6,"altruistic"
