"","simCount","timestamp","model_type","vod_type","GOF_per_vod_type","RMSE_per_vod_type","NRMSE_per_vod_type","RSQ_per_vod_type","GOF_combined","RMSE_combined","NRMSE_combined","RSQ_combined","vod_params","vod_count","rounds_per_vod","players_count","util_max","util_none","p1_coop_cost","p2_coop_cost","p3_coop_cost","p1_params","p1_X","p1_balancing","p1_prop_start","p1_epsilon_start","p1_epsilon_decay","p1_alpha","p1_gamma","p1_social_behavior","p2_params","p2_X","p2_balancing","p2_prop_start","p2_epsilon_start","p2_epsilon_decay","p2_alpha","p2_gamma","p2_social_behavior","p3_params","p3_X","p3_balancing","p3_prop_start","p3_epsilon_start","p3_epsilon_decay","p3_alpha","p3_gamma","p3_social_behavior"
"1",1,"2017-06-11 01:06:28","CoordinateX","sym","###",38.6735697860955,169.5,0.172145457960362,"#",38.8176076886078,188.2,0.14076870507462,"###",10,150,3,80,0,50,50,50,"#####",3,"greedy",0,0.05,0.98,0.25,0.6,"selfish","#####",3,"greedy",0,0.05,0.98,0.25,0.6,"selfish","#####",3,"greedy",0,0.05,0.98,0.25,0.6,"selfish"
"2",1,"2017-06-11 01:06:28","CoordinateX","asym1","###",34.1213276412276,201.9,0.532440358123508,"#",38.8176076886078,188.2,0.14076870507462,"###",10,150,3,80,0,30,50,50,"#####",3,"greedy",0,0.05,0.98,0.25,0.6,"selfish","#####",3,"greedy",0,0.05,0.98,0.25,0.6,"selfish","#####",3,"greedy",0,0.05,0.98,0.25,0.6,"selfish"
"3",1,"2017-06-11 01:06:28","CoordinateX","asym2","###",43.1336295713681,157.2,0.0153448611529,"#",38.8176076886078,188.2,0.14076870507462,"###",10,150,3,80,0,10,50,50,"#####",3,"greedy",0,0.05,0.98,0.25,0.6,"selfish","#####",3,"greedy",0,0.05,0.98,0.25,0.6,"selfish","#####",3,"greedy",0,0.05,0.98,0.25,0.6,"selfish"
"1",2,"2017-06-11 01:06:50","CoordinateX","sym","###",38.2948429948472,167.8,0.172145457960362,"#",39.7423554261045,192.7,0.133268884403364,"###",10,150,3,80,0,50,50,50,"#####",3,"greedy",0,0.05,0.98,0.25,0.75,"selfish","#####",3,"greedy",0,0.05,0.98,0.25,0.75,"selfish","#####",3,"greedy",0,0.05,0.98,0.25,0.75,"selfish"
"2",2,"2017-06-11 01:06:50","CoordinateX","asym1","###",32.9675513868477,195,0.52609938656985,"#",39.7423554261045,192.7,0.133268884403364,"###",10,150,3,80,0,30,50,50,"#####",3,"greedy",0,0.05,0.98,0.25,0.75,"selfish","#####",3,"greedy",0,0.05,0.98,0.25,0.75,"selfish","#####",3,"greedy",0,0.05,0.98,0.25,0.75,"selfish"
"3",2,"2017-06-11 01:06:50","CoordinateX","asym2","###",46.7440905355961,170.3,0.0153448611529,"#",39.7423554261045,192.7,0.133268884403364,"###",10,150,3,80,0,10,50,50,"#####",3,"greedy",0,0.05,0.98,0.25,0.75,"selfish","#####",3,"greedy",0,0.05,0.98,0.25,0.75,"selfish","#####",3,"greedy",0,0.05,0.98,0.25,0.75,"selfish"
"1",3,"2017-06-11 01:07:11","CoordinateX","sym","###",39.439130314955,172.9,0.172145457960361,"#",40.2045602720222,194.9,0.134856861583447,"###",10,150,3,80,0,50,50,50,"#####",3,"greedy",0,0.05,0.98,0.25,0.9,"selfish","#####",3,"greedy",0,0.05,0.98,0.25,0.9,"selfish","#####",3,"greedy",0,0.05,0.98,0.25,0.9,"selfish"
"2",3,"2017-06-11 01:07:11","CoordinateX","asym1","###",33.2981230702272,197,0.532440358123508,"#",40.2045602720222,194.9,0.134856861583447,"###",10,150,3,80,0,30,50,50,"#####",3,"greedy",0,0.05,0.98,0.25,0.9,"selfish","#####",3,"greedy",0,0.05,0.98,0.25,0.9,"selfish","#####",3,"greedy",0,0.05,0.98,0.25,0.9,"selfish"
"3",3,"2017-06-11 01:07:11","CoordinateX","asym2","###",46.7440905355961,170.3,0.0153448611529,"#",40.2045602720222,194.9,0.134856861583447,"###",10,150,3,80,0,10,50,50,"#####",3,"greedy",0,0.05,0.98,0.25,0.9,"selfish","#####",3,"greedy",0,0.05,0.98,0.25,0.9,"selfish","#####",3,"greedy",0,0.05,0.98,0.25,0.9,"selfish"
"1",4,"2017-06-11 01:07:31","CoordinateX","sym","###",36.4277900632043,159.7,0.192827003080644,"#",36.222731761924,175.6,0.117510060740207,"###",10,150,3,80,0,50,50,50,"#####",3,"greedy",0,0.05,0.98,0.4,0.6,"selfish","#####",3,"greedy",0,0.05,0.98,0.4,0.6,"selfish","#####",3,"greedy",0,0.05,0.98,0.4,0.6,"selfish"
"2",4,"2017-06-11 01:07:31","CoordinateX","asym1","###",21.4234684400076,126.7,0.511178943315227,"#",36.222731761924,175.6,0.117510060740207,"###",10,150,3,80,0,30,50,50,"#####",3,"greedy",0,0.05,0.98,0.4,0.6,"selfish","#####",3,"greedy",0,0.05,0.98,0.4,0.6,"selfish","#####",3,"greedy",0,0.05,0.98,0.4,0.6,"selfish"
"3",4,"2017-06-11 01:07:31","CoordinateX","asym2","###",46.3714351729597,168.9,0.0153448611529,"#",36.222731761924,175.6,0.117510060740207,"###",10,150,3,80,0,10,50,50,"#####",3,"greedy",0,0.05,0.98,0.4,0.6,"selfish","#####",3,"greedy",0,0.05,0.98,0.4,0.6,"selfish","#####",3,"greedy",0,0.05,0.98,0.4,0.6,"selfish"
"1",5,"2017-06-11 01:07:51","CoordinateX","sym","###",34.9075843398601,153,0.172145457960362,"#",35.819806232286,173.7,0.130489070737653,"###",10,150,3,80,0,50,50,50,"#####",3,"greedy",0,0.05,0.98,0.4,0.75,"selfish","#####",3,"greedy",0,0.05,0.98,0.4,0.75,"selfish","#####",3,"greedy",0,0.05,0.98,0.4,0.75,"selfish"
"2",5,"2017-06-11 01:07:51","CoordinateX","asym1","###",29.7477076614503,176,0.528872775520834,"#",35.819806232286,173.7,0.130489070737653,"###",10,150,3,80,0,30,50,50,"#####",3,"greedy",0,0.05,0.98,0.4,0.75,"selfish","#####",3,"greedy",0,0.05,0.98,0.4,0.75,"selfish","#####",3,"greedy",0,0.05,0.98,0.4,0.75,"selfish"
"3",5,"2017-06-11 01:07:51","CoordinateX","asym2","###",41.7816945563485,152.2,0.00975365623585413,"#",35.819806232286,173.7,0.130489070737653,"###",10,150,3,80,0,10,50,50,"#####",3,"greedy",0,0.05,0.98,0.4,0.75,"selfish","#####",3,"greedy",0,0.05,0.98,0.4,0.75,"selfish","#####",3,"greedy",0,0.05,0.98,0.4,0.75,"selfish"
"1",6,"2017-06-11 01:08:11","CoordinateX","sym","###",30.7633530176554,134.8,0.121262796433553,"#",36.2342328417428,175.7,0.114374263374391,"###",10,150,3,80,0,50,50,50,"#####",3,"greedy",0,0.05,0.98,0.4,0.9,"selfish","#####",3,"greedy",0,0.05,0.98,0.4,0.9,"selfish","#####",3,"greedy",0,0.05,0.98,0.4,0.9,"selfish"
"2",6,"2017-06-11 01:08:11","CoordinateX","asym1","###",32.2934203824866,191.1,0.506089278469824,"#",36.2342328417428,175.7,0.114374263374391,"###",10,150,3,80,0,30,50,50,"#####",3,"greedy",0,0.05,0.98,0.4,0.9,"selfish","#####",3,"greedy",0,0.05,0.98,0.4,0.9,"selfish","#####",3,"greedy",0,0.05,0.98,0.4,0.9,"selfish"
"3",6,"2017-06-11 01:08:11","CoordinateX","asym2","###",44.15325582559,160.9,0.0142843426845135,"#",36.2342328417428,175.7,0.114374263374391,"###",10,150,3,80,0,10,50,50,"#####",3,"greedy",0,0.05,0.98,0.4,0.9,"selfish","#####",3,"greedy",0,0.05,0.98,0.4,0.9,"selfish","#####",3,"greedy",0,0.05,0.98,0.4,0.9,"selfish"
