"","simCount","timestamp","model_type","vod_type","GOF_per_vod_type","RMSE_per_vod_type","NRMSE_per_vod_type","RSQ_per_vod_type","GOF_combined","RMSE_combined","NRMSE_combined","RSQ_combined","vod_params","vod_count","rounds_per_vod","players_count","util_max","util_none","p1_coop_cost","p2_coop_cost","p3_coop_cost","p1_params","p1_X","p1_players_per_state","p1_balancing","p1_prop_start","p1_epsilon_start","p1_epsilon_decay","p1_alpha","p1_gamma","p1_social_behavior","p2_params","p2_X","p2_players_per_state","p2_balancing","p2_prop_start","p2_epsilon_start","p2_epsilon_decay","p2_alpha","p2_gamma","p2_social_behavior","p3_params","p3_X","p3_players_per_state","p3_balancing","p3_prop_start","p3_epsilon_start","p3_epsilon_decay","p3_alpha","p3_gamma","p3_social_behavior"
"1",619,"2017-06-10 00:03:00","ClassicQ","sym","###",38.169221166333,167.3,0.172145457960361,"#",37.9557881205469,184,0.144435588860648,"###",10,150,3,80,0,50,50,50,"#####",2,1,"greedy",0,0.2,0.995,0.4,0.6,"altruistic","#####",2,1,"greedy",0,0.2,0.995,0.4,0.6,"altruistic","#####",2,1,"greedy",0,0.2,0.995,0.4,0.6,"altruistic"
"2",619,"2017-06-10 00:03:00","ClassicQ","asym1","###",30.6826679268787,181.5,0.555711571172471,"#",37.9557881205469,184,0.144435588860648,"###",10,150,3,80,0,30,50,50,"#####",2,1,"greedy",0,0.2,0.995,0.4,0.6,"altruistic","#####",2,1,"greedy",0,0.2,0.995,0.4,0.6,"altruistic","#####",2,1,"greedy",0,0.2,0.995,0.4,0.6,"altruistic"
"3",619,"2017-06-10 00:03:00","ClassicQ","asym2","###",43.8589785562774,159.8,0.0206874946830482,"#",37.9557881205469,184,0.144435588860648,"###",10,150,3,80,0,10,50,50,"#####",2,1,"greedy",0,0.2,0.995,0.4,0.6,"altruistic","#####",2,1,"greedy",0,0.2,0.995,0.4,0.6,"altruistic","#####",2,1,"greedy",0,0.2,0.995,0.4,0.6,"altruistic"
"1",620,"2017-06-10 00:04:18","ClassicQ","sym","###",37.7418203058623,165.4,0.155389914248222,"#",37.4442696995593,181.6,0.129948732097099,"###",10,150,3,80,0,50,50,50,"#####",3,1,"greedy",0,0.2,0.995,0.4,0.6,"altruistic","#####",3,1,"greedy",0,0.2,0.995,0.4,0.6,"altruistic","#####",3,1,"greedy",0,0.2,0.995,0.4,0.6,"altruistic"
"2",620,"2017-06-10 00:04:18","ClassicQ","asym1","###",29.8908848982428,176.8,0.522080118039877,"#",37.4442696995593,181.6,0.129948732097099,"###",10,150,3,80,0,30,50,50,"#####",3,1,"greedy",0,0.2,0.995,0.4,0.6,"altruistic","#####",3,1,"greedy",0,0.2,0.995,0.4,0.6,"altruistic","#####",3,1,"greedy",0,0.2,0.995,0.4,0.6,"altruistic"
"3",620,"2017-06-10 00:04:18","ClassicQ","asym2","###",43.4546890450271,158.3,0.0164563046072351,"#",37.4442696995593,181.6,0.129948732097099,"###",10,150,3,80,0,10,50,50,"#####",3,1,"greedy",0,0.2,0.995,0.4,0.6,"altruistic","#####",3,1,"greedy",0,0.2,0.995,0.4,0.6,"altruistic","#####",3,1,"greedy",0,0.2,0.995,0.4,0.6,"altruistic"
"1",621,"2017-06-10 00:05:10","ClassicQ","sym","###",36.9274890081149,161.8,0.157069480485686,"#",37.8076662811873,183.3,0.137953203825703,"###",10,150,3,80,0,50,50,50,"#####",2,1,"greedy",0,0.2,0.995,0.4,0.75,"altruistic","#####",2,1,"greedy",0,0.2,0.995,0.4,0.75,"altruistic","#####",2,1,"greedy",0,0.2,0.995,0.4,0.75,"altruistic"
"2",621,"2017-06-10 00:05:10","ClassicQ","asym1","###",33.1618673244503,196.2,0.532440358123508,"#",37.8076662811873,183.3,0.137953203825703,"###",10,150,3,80,0,30,50,50,"#####",2,1,"greedy",0,0.2,0.995,0.4,0.75,"altruistic","#####",2,1,"greedy",0,0.2,0.995,0.4,0.75,"altruistic","#####",2,1,"greedy",0,0.2,0.995,0.4,0.75,"altruistic"
"3",621,"2017-06-10 00:05:10","ClassicQ","asym2","###",42.7189653432758,155.6,0.0180281177752476,"#",37.8076662811873,183.3,0.137953203825703,"###",10,150,3,80,0,10,50,50,"#####",2,1,"greedy",0,0.2,0.995,0.4,0.75,"altruistic","#####",2,1,"greedy",0,0.2,0.995,0.4,0.75,"altruistic","#####",2,1,"greedy",0,0.2,0.995,0.4,0.75,"altruistic"
"1",622,"2017-06-10 00:06:29","ClassicQ","sym","###",35.6755518527745,156.4,0.181261004707805,"#",37.6641739588166,182.6,0.138427934166113,"###",10,150,3,80,0,50,50,50,"#####",3,1,"greedy",0,0.2,0.995,0.4,0.75,"altruistic","#####",3,1,"greedy",0,0.2,0.995,0.4,0.75,"altruistic","#####",3,1,"greedy",0,0.2,0.995,0.4,0.75,"altruistic"
